source_term,target_term,suggested_type,reason
原型組裝及功能確認檢查表,Prototype assembly and functional conformity checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
原型組裝及功能確認表,Prototype assembly and functional conformity checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
原始輪廓,Primary profile,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
原廠序號,Manufacturer number,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
原材料檢驗作業辦法,Raw material inspection operate instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
原物料、工具編碼及命名管理辦法,"Raw materials, tools coding and naming management instruction",strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
原物料及刀工具,Raw materials and tools,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
原物料及工具編碼一覽表,Raw materials and tools codes list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
原物料編碼,Codes of raw materials,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
參數範圍,parameter ranges,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
參數驗證,parameter validation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
參考文件,Referenced documents,strict_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
取樣依據,sampling criteria,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
取閱管制,Access management,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
受影響文件,Affected documents,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
受理核准,Review,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
受託研究機構,Contract research institution,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
受試者,Subject,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
口頭建議,Oral suggestion,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
召回,Recall,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
召回作業,Recall operation,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
召回作業之執行,Recall implementation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
召回作業查檢表,Check list of recall operation,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
召回可能擴及的深度,The depth of possible recall,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
召回品之管制,Management of recalled products,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
召回期限,The time period of recall,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
召回等級,Recall class,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
召回策略,Recall strategy,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
召回計畫書,Recall plan,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
召開臨時品質管理審查會議時機,Timing to hold an ad hoc quality management review meeting,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
可用性工程,usability engineering,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
可用性工程應用辦法,Applying usability engineering instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
可用性或人因工程,usability human factors engineering,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
可用性測試,usability test,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
可用性評估報告書,Usability evaluation report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
可用性評估會議記錄,Meeting minutes,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
可用性評估計劃,usability evaluation plan,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
可辨識的,identifiable,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
台北倉儲運轉管制辦法,Taipei warehouse operation control instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
台北區蟲害防治及環境清潔檢查記錄表,Pest prevention and control & environment cleanliness check record form of Taipei site,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
台北運轉中心器械清洗手冊版次檢查表,Taipei Operation center clean Manual version checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
台北運轉中心器械清洗記錄表,Taipei warehouse instrument cleaning working record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
台北運轉中心成品區效期點檢表,Taipei warehouse instrument finished product area validity period checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
台灣,Taiwan,strict_required,公司、主管機關、國家地區或資料庫正式名稱，應固定使用指定譯名
各單位主管,Supervisors of each division,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
各模組作業操作手冊,Module Operation Manuals,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
各部門二級主管,Managers of each division,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
各部門組織功能,Organization and function of each division,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
合格/不合格品,Qualified / Unqualified products,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
合格供應商,Potentially Qualified Supplier,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
合格供應商一覽表,Qualified supplier list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
合格供應商考核管理,Performance management of qualified suppliers,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
合格供應商評鑑表,Supplier survey form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
合格供應商除名,Remove from qualified supplier list,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
合格品,conforming product,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
合格能力評核表,Qualification assessment form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
合格講師列冊,List of qualified trainers,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
合格講師核定表,Qualified trainer approval form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
合格講師清冊,List of qualified trainers,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
合理判斷,Reasonably suggests,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
合理可預見的誤用,reasonably foreseeable misuse,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
合約/訂單確認書,Contract / order confirmation form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
合約管理,Contract management,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
合金鑄件外觀檢查品質規範,Cosmetic inspection criteria for alloy casting,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
同型物料替換,Homo-type material substitute,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
向量,vector,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
呆廢料管理辦法,Idle stock management instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品保單位,Quality Assurance Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品保單位直接人員作業流程訓練後綜合評量表,QC direct personnel after operation process training comprehensive evaluation form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品保部,Quality Assurance Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品保部直接人員操作訓練作業辦法,QC direct personnel operation training work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品牌整合溝通部,Brand & Communications Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品牌溝通組,Brand Communication,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品號明細表,Part numbers list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質判定,Quality judgment,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質工程一組,Quality Engineering Section1,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品質工程二組,Quality Engineering Section2,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品質工程組,Quality Engineering Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品質手冊,Quality manual,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質水準,quality level,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質特性,Quality Characteristic,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質異常分析查檢表,Non-conformance analysis checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質異常處理單(N.C.R),Non-conformance report form,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
品質異常處理小組,Non-conformance disposition team,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品質異常處理小組會議記錄單,Non-conformance disposition team meeting minutes,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質異常處理管制辦法,Non-conforming part control instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質目標,Quality objective,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質目標之訂定,Set quality objectives,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質管制組,Quality Control Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品質管理代表,Quality management representative,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質管理代表的職責,The responsibility and authority of Quality Management Representative,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質管理審查會週期,The period of management review,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質管理工程表,Quality control plan form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質管理工程表草稿,Draft quality control plan form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質管理活動,Quality management activities,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質管理活動、環境管理活動和職業安全衛生管理活動,"Quality management activities, environmental management activities and occupational safety & health management activities",lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質管理系統、環境管理系統和職業安全衛生管理系統文件,"Quality  management system documents, environmental management system documents and occupational safety & health management system documents",lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質管理系統流程文件風險評估管制表,Procedure of quality management system risk evaluation control form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質管理系統流程風險分析表,Quality management system process risk analysis form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質系統內部稽核會議簽到表,Quality system internal audit meeting attendance sheet,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質系統持續改進作業辦法,Quality system continuously improvement work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質系統文件變更,Quality system documents change,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質系統稽核,Quality system audit,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質系統管理組,Quality System Management Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
品質系統記錄,"Quality System Record, QSR",strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
品質系統評估調查表,Quality system evaluate survey form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質系統電腦軟體確效總表,Quality system computer software validation master list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質系統風險評估管制辦法,Quality system risk evaluation control instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
品質記錄,Quality records,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質記錄之保存年限,Years of retaining quality records,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
品質記錄管理程序,Quality record management procedure,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
問卷寄發,Distribute questionnaires,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
問卷收集,Collect questionnaires,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
問卷結果檢討,Review questionnaire results,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
問卷設計、製作,Design and make questionnaire,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
器材銷售量,Sales volume,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
器械,instrument,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
器械&塑膠清洗設備操作及保養辦法,Instrument & plastic cleaning equipment operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械再處理手冊,reprocessing instructions for reusable surgical instruments,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械出貨UOJ檢驗記錄表,Instrument outgoing to UOJ inspection record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械半成品、委外及市購品圖面編碼與管理辦法,"Semi-finished instrument, outsourcing and commercial product drawings coding and management instruction",strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械客退品處理作業辦法,Instrument product returned work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械拆裝手冊,instrument disassembly manual,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械清洗及鈍化製程規範,Cleaning and passivation process specification of instruments,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械產品,instrument products,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
器械產品之標籤,Instrument product label,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
器械產品包含,The instrument products include,reference_only,屬描述性片語、章節語句或提示文字，翻譯可依上下文改寫，不宜因未精確出現而判定失敗
器械產品包裝製程規範,Instrument product packaging process specification,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械產品的單一識別碼,UDI of instrument product,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
器械的包裝標籤,Instrument label on package,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
器械設計變更檢查表,Instrument design changes checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械進料檢驗記錄表,Instrument in-coming inspection record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
器械開發單位,Instrument Development Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
器械開發部,Instrument Development Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
噴塗加工進料驗收查檢表,Spray coating part incoming inspection checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
噴射,injection,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
嚴重不良事件,Serious adverse event (SAE),strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
嚴重醫材不良事件,Serious adverse events,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
嚴重醫療器材不良反應,Serious adverse reaction of medical device,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
嚴重風險,Serious risk,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
回溯性流程確效,Retrospective validation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
回溯性確效,Retrospective validation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
固定式起重機(日)點檢表,Fixed hoist (daily) check record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
固定式起重機(月)點檢表,Fixed hoist (month) check record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
國內/國際營業單位、市場行銷單位,"Domestic / International Sales Division, Marketing Division",strict_required,正式部門或組織單位名稱，應固定使用指定譯名
國內客戶服務組,Domestic Customer Service Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
國內業務部,Domestic Sales Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
國內營業單位/國際營業單位,Domestic /International Sales Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
國外上市許可持有商通報,"Report for foreign marketing authorization holder, MAH",strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
國際客戶,International customers,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
國際客戶服務組,International Customer Service Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
國際營業部,International Sales Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
國際訂單作業流程作業辦法,Order operation process and management work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
圓盤式泡殼包裝機操作及保養辦法,Tyvek sealing packaging machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
圓餅圖,Pie chart,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
圖面及規範,Drawings and specifications,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
圖面文件,ECN/MCN,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
團體使用檢測儀器,Measuring devices used by groups,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
在製品委外前檢驗查檢表,In-process products before outsourcing checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
在製品搬運辦法,Work in progress handling work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
均溫,temperature uniformity,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
均溫性,Temperature uniformity,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
均溫性測試用感測器,Temperature Uniformity Sensor,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
均溫性符合要求,uniformity compliant,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
執行,Implement,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
執行/管控,Implement/Control,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
培養基,culture medium,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
培養基條,contact plate,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
基本UDI-DI(Basic UDI-DI),Basic UDI-DI,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
基本資料評估調查表,Basic information evaluate survey form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
報價作業,Quotation operation,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
報價單,Quotation form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
報價確認,Quotation confirmation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
報價管制,Quotation management,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
報廢,Scrap,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
報廢率,Scrap rate,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
報廢處理,Scrap process,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
塑膠低溫熱處理製程規範,Plastic low temperature heat treatment process specification,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
塑膠植入物外觀判定品質規範,Cosmetic inspection criteria for plastic products,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
塑膠產品低溫熱處理製程記錄表,Plastic products heat treatment record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
塑膠類產品清洗製程規範,Cleaning process specification of plastic products,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
塗層微結構分析測試規範,Testing criteria for coating microstructure analysis,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
塗層微結構檢驗記錄表,Report of Coating Microstructure,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
塗層試片膠合作業辦法,Coating test piece gluing work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
塗裝用黏結膠處理與黏度測試製程規範,Processing and viscosity test process specification of adhesive glue,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
壓力容器定期檢點表,Pressure vessel regular check record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
壽命,Lifetime,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
外來文件,External documents,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
外來文件管理,External Document Control,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
外國代理人,Foreign agent,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
外徑分厘卡校正作業辦法,Outside Micrometer calibrate instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
外校,Outsourcing calibration,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
外校儀器合格判定作業辦法,Outsourcing calibrated devices acceptance work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
外校儀器驗收,Check and acceptance for outsourcing calibrated devices,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
外觀,appearance,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
外訓申請表,External training application form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
外購商品編碼作業辦法,Procurement product coding work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
外部來源通報資料,Reporting from external sources,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
外部協力廠商維護管理,Outsourced Maintenance Management,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
外部品質稽核作業辦法,External audit instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
外部專家,External expert,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
外部製程挑戰產品,EPCD,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
外部訓練,External training,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
外銷訂價表,Export pricing form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
多中心研究計畫或臨床試驗計畫,Multi-institution research project or clinical trial project,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
大氣熱處理爐工件擺放位置標示作業辦法,Position arrange in air circulation furnace work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
大氣爐,oven,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
大氣爐均溫管制記錄表,Oven temperature uniformity control record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
大氣爐均溫量測作業辦法,Air circulation furnace temperature uniformity measurement work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
大氣電漿噴塗生產記錄表,Atmospheric plasma spraying production record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
大氣電漿噴塗系統操作及保養辦法,Atmospheric plasma spraying system operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
失效,Failure,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
套裝軟體,Software package,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
套裝軟體授權管理,Software package authority management,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
委外作業內容,Outsourcing,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
委外加工或採購件之特採申請,Concession application for outsourced manufacturing or purchased parts,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
委外塑膠直接模壓成型製程確效作業辦法,Outsourcing plastic Direct Compression Moulding process validation work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
委外採購作業說明,Description of vend out purchasing,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
委外收料單,Outsourced material reception form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
委外模具驗收,Check and acceptance of vend out molds,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
委外請、採購,Vend out acquisition and purchasing,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
子公司,Subsidiaries,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
子公司及關聯企業採購訂單流程作業辦法,Purchase order process instruction of the subsidiary companies and affiliates work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
學習評估表,Post-training evaluated form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
安全性和有效性,Safety and Effectiveness,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
安全性與臨床效能摘要,"Summary of Safety and Clinical Performance, SSCP",strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
安全性與臨床效能摘要作業辦法,Summary of safety and clinical performance work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
安全性資訊,Information for Safety,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
安裝驗證,"Installation qualification, IQ",strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
安裝驗證 IQ,Installation qualification,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
安裝驗證(IQ)計畫與報告書,Installation qualification protocol and report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
安裝驗證IQ,Installation Qualification,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
安規綜合分析儀保養點檢記錄表,Pre-use Inspection checklist for safety compliance analyzer,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
安規綜合分析儀暨操作、校正與保養作業辦法,"Safety compliance analyzer operate,calibrate and maintain instruction",strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
完工入庫單,Finished goods stock in form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
完成品之特採申請,Concession application for finished products,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
完成製程流程管制記錄,Manufacturing process control record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
宏觀檢驗,macroscopic inspection,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
官方稽核,Official audit,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
定期安全性更新報告,"Periodic safety update report, PSUR",strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
定期安全性更新報告書,Periodic safety update report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
定期審核管理系統文件,The periodicity to review the management system documents,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
定期測試查證與製程再確效,Periodical verification test and process re-validation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
定期測試驗證記錄表,Periodic verification testing record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
定期盤點,Periodical counting,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
定期確效監控,periodic validation monitoring,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
定期確效計劃表,Periodical validation plan form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
